,inventory,demand,backlog,shipment,order
17,282,82,0,276,0
18,251,34,0,51,0
19,417,81,0,200,0
20,514,81,0,178,0
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,0
5,128,40,0,0,0
6,88,104,16,0,100
7,0,91,107,0,0
8,0,55,162,0,175
9,100,93,155,100,77
10,0,17,172,0,100
11,100,8,80,100,60
12,0,87,167,0,40
13,0,25,192,0,0
14,160,84,116,160,100
15,0,23,139,0,100
16,192,2,0,192,0
17,199,82,0,148,0
18,222,82,0,105,0
19,140,81,0,0,50
20,87,81,0,28,50
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,0
5,128,40,0,0,0
6,88,104,16,0,142
7,0,91,107,0,42
8,0,55,162,0,91
9,142,93,113,142,77
10,42,17,88,42,66
11,16,8,80,16,0
12,55,87,112,55,23
13,45,85,152,45,106
14,60,44,136,60,76
15,12,58,182,12,45
16,175,47,54,175,52
17,43,62,73,43,51
18,0,14,87,0,37
19,120,81,48,120,34
20,54,81,75,54,97
1,160,40,0,40,0
2,160,0,0,40,40
3,200,32,0,40,80
4,168,40,0,0,40
5,168,40,0,40,30
6,208,104,0,80,45
7,144,91,0,40,110
8,83,55,0,30,30
9,73,93,20,45,40
10,46,89,63,46,55
11,24,88,127,24,100
12,49,87,165,49,100
13,28,54,191,28,77
14,64,28,155,64,30
15,112,52,95,112,20
16,59,30,66,59,30
17,76,66,56,76,50
18,68,82,70,68,80
19,66,81,85,66,90
20,50,81,116,50,88
1,160,40,0,40,0
2,160,0,0,40,200
3,200,32,0,40,0
4,168,40,0,0,0
5,328,40,0,200,0
6,288,104,0,0,0
7,184,91,0,0,0
8,93,55,0,0,75
9,38,93,55,0,77
10,0,89,144,0,321
11,75,88,157,75,0
12,77,55,135,77,0
13,34,5,106,34,0
14,0,79,185,0,2
15,89,80,176,89,91
16,76,36,136,76,63
17,13,2,125,13,150
18,202,82,5,202,0
19,63,81,23,63,0
20,135,19,0,135,29
1,160,40,0,40,50
2,160,0,0,40,50
3,200,32,0,40,20
4,218,40,0,50,20
5,228,40,0,50,40
6,208,104,0,20,60
7,124,91,0,20,160
8,73,55,0,40,100
9,67,93,26,49,90
10,10,89,105,10,159
11,45,88,148,45,100
12,75,84,157,75,50
13,1,15,171,1,10
14,100,49,120,100,0
15,353,78,0,353,0
16,319,3,0,164,0
17,316,82,0,0,0
18,234,82,0,0,0
19,152,81,0,0,0
20,71,81,10,0,0
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,40
4,168,40,0,0,0
5,128,40,0,0,40
6,128,104,0,40,80
7,24,91,67,0,24
8,40,55,82,40,100
9,80,93,95,80,80
10,24,57,128,24,78
11,16,48,160,16,50
12,68,87,179,68,60
13,17,29,191,17,100
14,75,20,136,75,40
15,0,71,207,0,70
16,199,19,27,199,40
17,104,77,0,104,20
18,186,2,0,186,0
19,261,81,0,77,0
20,204,81,0,24,0
1,160,40,0,40,100
2,160,0,0,40,50
3,200,32,0,40,0
4,268,40,0,100,35
5,278,40,0,50,35
6,238,104,0,0,40
7,169,91,0,35,90
8,113,55,0,35,70
9,98,93,0,40,120
10,44,89,45,39,100
11,33,88,100,33,100
12,42,87,145,42,36
13,35,72,182,35,40
14,52,37,167,52,120
15,178,45,34,178,100
16,105,37,0,105,120
17,238,54,0,204,20
18,247,82,0,63,30
19,216,81,0,51,40
20,289,81,0,154,0
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,0
5,128,40,0,0,0
6,88,104,16,0,200
7,0,91,107,0,100
8,0,55,162,0,200
9,200,93,55,200,100
10,0,17,72,0,50
11,0,8,80,0,50
12,148,87,19,148,50
13,12,85,92,12,100
14,100,44,36,100,50
15,187,83,0,187,0
16,390,82,0,322,0
17,358,82,0,50,0
18,276,82,0,0,0
19,194,81,0,0,50
20,113,81,0,0,50
1,160,40,0,40,0
2,160,0,0,40,20
3,200,32,0,40,32
4,168,40,0,0,20
5,148,40,0,20,0
6,140,104,0,32,70
7,56,91,35,20,100
8,0,55,90,0,200
9,70,93,113,70,100
10,58,89,144,58,200
11,0,8,152,0,70
12,35,77,194,35,300
13,125,63,132,125,100
14,0,4,136,0,50
15,136,38,38,136,50
16,447,82,0,447,0
17,487,47,0,160,0
18,679,82,0,239,0
19,617,81,0,20,0
20,536,81,0,0,0
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,40
5,128,40,0,0,40
6,88,104,16,0,104
7,40,91,67,40,91
8,40,55,82,40,55
9,104,93,71,104,93
10,16,57,112,16,57
11,0,48,160,0,200
12,109,87,138,109,109
13,51,45,132,51,400
14,37,4,99,37,400
15,177,83,5,177,83
16,62,82,25,62,500
17,160,39,0,160,0
18,208,82,0,112,0
19,549,81,0,423,0
20,606,81,0,138,0
1,160,40,0,40,0
2,160,0,0,40,100
3,200,32,0,40,0
4,168,40,0,0,0
5,228,40,0,100,0
6,188,104,0,0,100
7,84,91,7,0,50
8,0,55,62,0,50
9,100,93,55,100,100
10,26,89,118,26,20
11,0,36,154,0,50
12,87,87,154,87,100
13,47,51,158,47,100
14,34,4,128,34,100
15,77,83,134,77,100
16,70,56,120,70,100
17,73,36,83,73,100
18,121,79,41,121,50
19,21,71,91,21,100
20,182,74,0,182,100
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,10
4,168,40,0,0,10
5,128,40,0,0,20
6,98,104,6,10,100
7,10,91,87,10,250
8,20,55,122,20,150
9,100,93,115,100,100
10,60,37,92,60,115
11,0,28,120,0,400
12,45,87,162,45,150
13,115,85,132,115,400
14,0,4,136,0,500
15,532,48,0,532,100
16,510,82,0,162,60
17,627,37,0,199,0
18,735,82,0,145,0
19,1517,81,0,864,0
20,1562,81,0,126,0
1,160,40,0,40,40
2,160,0,0,40,0
3,200,32,0,40,32
4,208,40,0,40,80
5,168,40,0,0,0
6,160,104,0,32,140
7,136,91,0,80,200
8,45,55,10,0,300
9,48,93,55,48,200
10,71,89,73,71,300
11,0,88,161,0,100
12,89,55,127,89,300
13,0,76,203,0,400
14,252,4,0,252,200
15,589,83,0,544,0
16,1150,11,0,644,0
17,1337,82,0,198,0
18,1641,82,0,386,0
19,1598,81,0,39,0
20,1533,81,0,16,0
1,160,40,0,40,40
2,160,0,0,40,0
3,200,32,0,40,0
4,208,40,0,40,0
5,168,40,0,0,40
6,128,104,0,0,104
7,24,91,67,0,200
8,40,55,82,40,60
9,104,93,71,104,100
10,16,57,112,16,70
11,0,48,160,0,80
12,102,87,145,102,100
13,58,45,132,58,100
14,26,4,110,26,50
15,385,83,0,385,83
16,308,82,0,116,0
17,323,28,0,97,28
18,401,82,0,106,0
19,333,81,0,14,40
20,284,81,0,32,60
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,20
5,128,40,0,0,20
6,88,104,16,0,40
7,20,91,87,20,100
8,20,55,122,20,50
9,40,93,175,40,100
10,100,37,112,100,50
11,20,28,120,20,40
12,0,47,167,0,50
13,96,85,156,96,100
14,57,44,143,57,150
15,19,3,127,19,50
16,77,82,132,77,100
17,121,75,86,121,100
18,51,21,56,51,50
19,94,78,40,94,100
20,53,81,68,53,100
1,160,40,0,40,40
2,160,0,0,40,0
3,200,32,0,40,0
4,208,40,0,40,0
5,168,40,0,0,0
6,128,104,0,0,100
7,24,91,67,0,90
8,0,55,122,0,90
9,100,93,115,100,90
10,60,57,112,60,90
11,0,8,120,0,80
12,36,87,171,36,90
13,124,85,132,124,90
14,0,4,136,0,90
15,112,39,63,112,90
16,167,82,0,167,70
17,174,46,0,152,70
18,231,82,0,103,50
19,249,81,0,100,50
20,258,81,0,90,50
1,160,40,0,40,40
2,160,0,0,40,0
3,200,32,0,40,0
4,208,40,0,40,0
5,168,40,0,0,0
6,128,104,0,0,60
7,24,91,67,0,100
8,0,55,122,0,60
9,60,93,155,60,100
10,100,57,112,100,80
11,0,8,120,0,40
12,0,67,187,0,100
13,118,85,154,118,120
14,42,24,136,42,80
15,47,3,92,47,40
16,100,82,74,100,80
17,142,82,14,142,124
18,126,49,0,126,0
19,128,81,0,65,60
20,216,81,0,169,0
1,160,40,0,40,40
2,160,0,0,40,80
3,200,32,0,40,40
4,208,40,0,40,0
5,248,40,0,80,0
6,248,104,0,40,0
7,144,91,0,0,80
8,53,55,2,0,80
9,0,93,95,0,80
10,80,89,104,80,100
11,51,88,141,51,100
12,0,15,156,0,100
13,52,85,189,52,200
14,39,55,205,39,40
15,31,3,177,31,300
16,159,54,72,159,200
17,139,41,0,139,160
18,321,33,0,295,0
19,447,81,0,159,20
20,509,81,0,143,0
1,160,40,0,40,0
2,160,0,0,40,0
3,200,32,0,40,0
4,168,40,0,0,0
5,128,40,0,0,0
6,88,104,16,0,100
7,0,91,107,0,200
8,0,55,162,0,200
9,100,93,155,100,200
10,100,17,72,100,50
11,0,8,80,0,50
12,0,87,167,0,50
13,160,85,92,160,100
14,0,44,136,0,100
15,324,3,0,324,0
16,499,82,0,314,0
17,517,82,0,100,0
